,0
EX_arg__L_e,0.0295792
EX_btn_e,2e-07
EX_ca2_e,0.0005205
EX_cl_e,0.0005205
EX_cobalt2_e,2.5e-06
EX_cu2_e,7.09e-05
EX_gmp_e,0.02641290000190248
EX_gsn_e,0.06061267999803806
EX_gthrd_e,0.024764500000086037
EX_his__L_e,0.009473800000000001
EX_fe2_e,0.0008253
EX_fe3_e,0.0007808000000295579
EX_k_e,0.019519300000000003
EX_kdo2lipid4_e,0.0019456000000000002
EX_malthx_e,0.814690433695904
EX_mg2_e,0.0008675000000000001
EX_mn2_e,6.91e-05
EX_mobd_e,1.29e-05
EX_udpacgal_e,0.033079499999984587
EX_ni2_e,3.23e-05
EX_zn2_e,3.41e-05
EX_so4_e,0.00043380000000000003
EX_thm_e,2.23e-05
EX_LalaDgluMdapDala_e,0.0370949
EX_adn_e,0.02042970000002242
